鄉鎮市區,交易年月日,建物型態,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,單價元平方公尺,縣市,住宅面積,屋齡_ADD,X,Y,移轉層次_ADD,總樓層數_ADD
文山區,1080523,公寓(5樓含以下無電梯),3,2,2,46407,臺北市,100.200,38,308597.254,2764202.521,2,5
文山區,1080422,套房(1房1廳1衛),1,1,1,177558,臺北市,30.300,10,308527.772,2763983.012,7,10
文山區,1080411,套房(1房1廳1衛),0,1,1,175316,臺北市,42.780,17,304661.030,2765116.156,10,10
文山區,1080926,華廈(10層含以下有電梯),2,1,1,122233,臺北市,73.630,32,304714.614,2765056.578,4,7
文山區,1080416,住宅大樓(11層含以上有電梯),3,2,2,165140,臺北市,133.220,24,304705.963,2764779.362,2,11
文山區,1080708,公寓(5樓含以下無電梯),1,1,1,159001,臺北市,158.490,39,305193.778,2765474.563,1,5
文山區,1080804,公寓(5樓含以下無電梯),2,2,1,100248,臺北市,92.770,37,305274.614,2765370.600,5,5
文山區,1080911,住宅大樓(11層含以上有電梯),4,2,2,213283,臺北市,187.310,4,305256.414,2765766.779,15,17
文山區,1080814,住宅大樓(11層含以上有電梯),4,2,2,211751,臺北市,188.240,4,305256.414,2765766.779,15,17
文山區,1080402,公寓(5樓含以下無電梯),6,3,2,129899,臺北市,117.630,35,305114.106,2765394.163,5,5
文山區,1080217,公寓(5樓含以下無電梯),3,2,2,120555,臺北市,66.360,40,304384.018,2765233.657,5,5
文山區,1080110,公寓(5樓含以下無電梯),4,2,2,57537,臺北市,139.040,36,305015.495,2765212.032,2,5
文山區,1080806,公寓(5樓含以下無電梯),3,2,1,127022,臺北市,74.790,40,305137.434,2765178.774,3,5
文山區,1080110,華廈(10層含以下有電梯),1,2,1,153433,臺北市,52.140,22,305145.342,2765826.035,3,5
文山區,1080316,住宅大樓(11層含以上有電梯),4,2,2,221549,臺北市,188.220,2,304463.148,2765333.853,13,13
文山區,1080127,華廈(10層含以下有電梯),2,2,1,178651,臺北市,67.170,13,306979.337,2765789.526,4,7
文山區,1080401,公寓(5樓含以下無電梯),3,2,2,72696,臺北市,333.580,33,306895.349,2766282.933,1,4
文山區,1080528,公寓(5樓含以下無電梯),5,2,2,115820,臺北市,146.780,32,306895.349,2766282.933,1,4
文山區,1080307,公寓(5樓含以下無電梯),0,0,0,153846,臺北市,2.599,30,304527.115,2765023.140,1,5
文山區,1080609,套房(1房1廳1衛),1,1,1,109028,臺北市,37.330,25,305245.832,2764849.277,3,7
文山區,1080929,華廈(10層含以下有電梯),2,2,1,138816,臺北市,76.360,23,305441.893,2766300.444,2,8
文山區,1080303,公寓(5樓含以下無電梯),3,2,2,115516,臺北市,102.150,37,305560.392,2766568.510,2,5
文山區,1080603,公寓(5樓含以下無電梯),3,2,1,106356,臺北市,79.920,37,305659.874,2766630.274,5,5
文山區,1080907,套房(1房1廳1衛),1,1,1,173432,臺北市,37.940,24,305475.728,2766400.305,6,6
文山區,1080305,華廈(10層含以下有電梯),2,2,1,118281,臺北市,71.440,18,305475.728,2766400.305,9,9
文山區,1080319,套房(1房1廳1衛),1,0,1,139896,臺北市,28.950,20,305304.059,2766477.923,3,10
文山區,1080306,住宅大樓(11層含以上有電梯),2,2,1,168565,臺北市,87.800,21,305312.493,2766122.376,2,13
文山區,1080429,公寓(5樓含以下無電梯),3,2,2,121590,臺北市,94.580,41,305722.548,2765827.458,3,5
文山區,1080315,公寓(5樓含以下無電梯),2,2,1,130610,臺北市,91.570,41,305645.531,2765814.700,4,4
文山區,1080220,公寓(5樓含以下無電梯),3,2,2,123861,臺北市,125.140,35,305107.897,2765670.686,5,5
文山區,1080312,華廈(10層含以下有電梯),0,0,0,190038,臺北市,49.989,1,305654.626,2766102.773,7,9
文山區,1080404,公寓(5樓含以下無電梯),3,2,1,90183,臺北市,92.699,37,306802.466,2765393.063,3,5
文山區,1080518,公寓(5樓含以下無電梯),3,2,1,102481,臺北市,92.699,37,306580.960,2765420.199,5,5
文山區,1080908,公寓(5樓含以下無電梯),3,2,2,97087,臺北市,92.699,37,306643.299,2765412.666,2,5
鶯歌區,1080129,住宅大樓(11層含以上有電梯),3,2,2,67632,新北市,124.940,1,283870.927,2762639.291,8,14
鶯歌區,1080423,住宅大樓(11層含以上有電梯),3,2,2,69073,新北市,124.940,1,283870.927,2762639.291,7,14
淡水區,1080813,套房(1房1廳1衛),1,1,1,100440,新北市,93.090,3,292214.814,2785807.742,8,29
淡水區,1080916,住宅大樓(11層含以上有電梯),2,1,1,115408,新北市,130.840,3,292214.814,2785807.742,13,29
淡水區,1080924,住宅大樓(11層含以上有電梯),3,2,2,109202,新北市,130.950,12,296554.609,2781729.978,6,24
淡水區,1080109,住宅大樓(11層含以上有電梯),2,2,2,123978,新北市,145.590,1,296348.270,2780663.075,21,25
淡水區,1080605,住宅大樓(11層含以上有電梯),3,2,2,115139,新北市,181.780,1,296348.270,2780663.075,17,27
淡水區,1080823,住宅大樓(11層含以上有電梯),3,2,3,104167,新北市,262.560,1,296348.270,2780663.075,4,27
淡水區,1080523,住宅大樓(11層含以上有電梯),2,2,2,66268,新北市,95.370,2,293488.673,2786773.396,8,15
淡水區,1080319,住宅大樓(11層含以上有電梯),3,2,2,67957,新北市,125.079,2,293488.673,2786773.396,8,15
淡水區,1080624,住宅大樓(11層含以上有電梯),3,2,2,52282,新北市,128.150,1,293488.673,2786773.396,3,14
淡水區,1080415,住宅大樓(11層含以上有電梯),3,2,2,66802,新北市,133.080,2,293488.673,2786773.396,10,15
淡水區,1080618,住宅大樓(11層含以上有電梯),3,2,2,67478,新北市,133.080,2,293488.673,2786773.396,8,15
淡水區,1080901,住宅大樓(11層含以上有電梯),4,2,3,73862,新北市,240.720,3,293564.103,2786855.098,15,20
淡水區,1080415,華廈(10層含以下有電梯),2,2,2,64765,新北市,91.870,2,293488.673,2786773.396,5,10
淡水區,1080531,住宅大樓(11層含以上有電梯),3,2,2,82733,新北市,124.860,4,293488.673,2786773.396,12,17
淡水區,1080601,住宅大樓(11層含以上有電梯),2,1,2,77653,新北市,93.750,1,293193.674,2786674.699,13,23
淡水區,1080731,住宅大樓(11層含以上有電梯),2,1,2,72274,新北市,95.470,1,293193.674,2786674.699,7,23
淡水區,1080626,住宅大樓(11層含以上有電梯),3,2,2,98349,新北市,142.350,1,293193.674,2786674.699,19,23
淡水區,1080427,住宅大樓(11層含以上有電梯),3,2,2,45430,新北市,127.660,23,297509.739,2783831.382,12,16
淡水區,1080315,住宅大樓(11層含以上有電梯),2,1,1,70775,新北市,78.700,2,296026.412,2783826.552,9,11
淡水區,1080515,住宅大樓(11層含以上有電梯),2,1,1,71887,新北市,77.900,2,296026.412,2783826.552,2,11
淡水區,1080410,住宅大樓(11層含以上有電梯),2,1,1,75873,新北市,79.079,2,296026.412,2783826.552,3,11
淡水區,1080329,住宅大樓(11層含以上有電梯),2,2,1,63651,新北市,78.710,2,296983.104,2783752.862,1,11
淡水區,1080223,住宅大樓(11層含以上有電梯),2,1,1,77358,新北市,79.500,2,296983.104,2783752.862,9,11
淡水區,1080403,住宅大樓(11層含以上有電梯),2,1,1,73925,新北市,79.540,2,296983.104,2783752.862,10,11
淡水區,1080403,住宅大樓(11層含以上有電梯),3,1,2,102873,新北市,119.370,3,296458.615,2783307.333,21,21
淡水區,1080615,住宅大樓(11層含以上有電梯),3,2,2,62986,新北市,132.570,2,293358.412,2787618.227,14,21
淡水區,1080623,住宅大樓(11層含以上有電梯),3,2,2,60948,新北市,132.900,2,293358.412,2787618.227,11,21
淡水區,1080505,住宅大樓(11層含以上有電梯),3,2,2,70064,新北市,131.880,2,293358.412,2787618.227,16,21
淡水區,1080309,住宅大樓(11層含以上有電梯),3,2,2,66896,新北市,130.800,2,293358.412,2787618.227,10,21
淡水區,1080211,住宅大樓(11層含以上有電梯),3,2,2,57656,新北市,157.140,2,293358.412,2787618.227,6,21
淡水區,1080310,住宅大樓(11層含以上有電梯),3,2,2,66271,新北市,158.439,2,293358.412,2787618.227,19,21
淡水區,1080412,住宅大樓(11層含以上有電梯),3,2,2,62610,新北市,158.439,2,293358.412,2787618.227,13,21
淡水區,1080530,住宅大樓(11層含以上有電梯),3,2,2,62047,新北市,157.140,2,293358.412,2787618.227,4,21
淡水區,1080110,住宅大樓(11層含以上有電梯),3,2,2,63804,新北市,148.110,2,293358.412,2787618.227,11,21
淡水區,1080223,住宅大樓(11層含以上有電梯),3,2,2,64952,新北市,152.420,2,293358.412,2787618.227,14,21
淡水區,1080609,住宅大樓(11層含以上有電梯),1,2,1,73209,新北市,96.300,1,295100.512,2786228.893,13,15
淡水區,1080728,住宅大樓(11層含以上有電梯),1,2,1,68536,新北市,96.300,1,295100.512,2786228.893,3,15
淡水區,1080905,住宅大樓(11層含以上有電梯),1,2,1,76026,新北市,96.020,1,295100.512,2786228.893,4,15
